id,name,description,menus_appeared,times_appeared,first_appeared,last_appeared,lowest_price,highest_price
350,Sausage,,55,57,1894,1987,0,25
351,Porto-Rico,,1,1,1901,1901,0,0
352,Buckwheat Cakes,,347,351,1,1962,0,20
353,Sliced Pineapples,,3,3,1896,1918,0.25,0.25
354,Soles Normandy,,1,1,1901,1901,0,0
355,Broiled Salt Mackerel,,131,136,1859,1949,0,0.8
356,Shad roe and bacon,,64,66,1899,1963,0.2,3.5
357,Tripe Fricassee,,6,6,1900,1900,0,0
358,Minced scallops on toast,,5,5,1900,1900,0,0
359,Steak Pie,,4,4,1901,1917,0.15,0.2
360,Mutton,,282,328,1865,1917,0.15,60
364,Boston Box Stew,,7,7,1900,1919,0.3,0.4
365,Fry,,30,36,1900,1919,0.15,50
366,Fry with Bacon,,11,11,1900,1919,0.35,0.6
367,Oyster Omelette,,71,85,1892,1946,0.2,25
368,Stewed Tripe,,37,38,1856,1943,0.1,10
369,Pork Sausage,,27,27,1900,1958,0.25,0.35
370,Corned Beef Hash,,616,675,1,1959,0.1,25
371,"Broiled Mackerel, Butter Sauce",,2,2,1901,1901,0,0
372,Mock Turtle,,140,142,1865,1966,0,40
373,Consomme Benoiton,,1,1,1900,1900,0,0
375,Puree of Tomatoes,,104,105,1866,1939,0.1,0.4
376,Filet Steaks aux Champignon,,1,1,1901,1901,0,0
377,Consomme Plain,,30,30,1887,1937,0.15,25
378,"Minced Chicken, Creamed Rice",,1,1,1901,1901,0,0
379,Schmorbraten a la bourgeoise,,2,2,1900,1900,0,0
380,Kartoffelmus,,48,48,1899,1910,0,0
381,"Tripe, Spanish Style",,3,3,1901,1901,0,0
382,Consomme San Remo,,4,4,1900,1962,0.2,0.2
383,Gebackene Kartoffeln,,154,157,1900,1969,0.75,0.75
384,Calves’ Liver & Bacon,,1,1,1901,1901,0,0
385,Eggs to order,,263,264,1891,1973,,
386,Consomme Maceo,,1,1,1900,1900,0.2,0.2
387,Puree Mongol,,5,5,1900,1913,0.2,0.35
388,Broiled Rashers of Ham and Bacon,,6,6,1901,1901,0,0
